name L N N_p dt T num_threads total_time ave_time
ppm_omp 100 4096 3200 0.1 10 3 3.02589 0.302589
ppm_omp 100 4096 6400 0.1 10 3 3.03577 0.303577
ppm_omp 100 4096 12800 0.1 10 3 3.02144 0.302144
ppm_omp 100 4096 800 0.1 10 4 2.7704 0.27704
ppm_omp 100 4096 1600 0.1 10 4 2.75434 0.275434
ppm_omp 100 4096 3200 0.1 10 4 2.74133 0.274133
ppm_omp 100 4096 6400 0.1 10 4 2.7467 0.27467
ppm_omp 100 4096 12800 0.1 10 4 2.74689 0.274689
ppm_omp 100 4096 800 0.1 10 5 2.64724 0.264724
ppm_omp 100 4096 1600 0.1 10 5 2.59748 0.259748
ppm_omp 100 4096 3200 0.1 10 5 2.60859 0.260859
ppm_omp 100 4096 6400 0.1 10 5 2.70053 0.270053
ppm_omp 100 4096 12800 0.1 10 5 2.73569 0.273569
ppm_omp 100 4096 800 0.1 10 6 2.61449 0.261449
ppm_omp 100 4096 1600 0.1 10 6 2.6302 0.26302
ppm_omp 100 4096 3200 0.1 10 6 2.62393 0.262393
ppm_omp 100 4096 6400 0.1 10 6 2.61819 0.261819
ppm_omp 100 4096 12800 0.1 10 6 2.60169 0.260169
ppm_omp 100 4096 800 0.1 10 7 2.57169 0.257169
ppm_omp 100 4096 1600 0.1 10 7 2.99815 0.299815
ppm_omp 100 4096 3200 0.1 10 7 2.56839 0.256839
ppm_omp 100 4096 6400 0.1 10 7 2.5705 0.25705
ppm_omp 100 4096 12800 0.1 10 7 2.60504 0.260504
ppm_omp 100 4096 800 0.1 10 8 2.58758 0.258758
ppm_omp 100 4096 1600 0.1 10 8 2.58305 0.258305
ppm_omp 100 4096 3200 0.1 10 8 2.55475 0.255475
ppm_omp 100 4096 6400 0.1 10 8 2.55168 0.255168
ppm_omp 100 4096 12800 0.1 10 8 2.58612 0.258612
ppm_omp 100 4096 800 0.1 10 12 2.56967 0.256967
ppm_omp 100 4096 1600 0.1 10 12 2.57103 0.257103
ppm_omp 100 4096 3200 0.1 10 12 2.57984 0.257984
ppm_omp 100 4096 6400 0.1 10 12 2.57555 0.257555
ppm_omp 100 4096 12800 0.1 10 12 2.71825 0.271825
ppm_omp 100 4096 800 0.1 10 16 2.6319 0.26319
ppm_omp 100 4096 1600 0.1 10 16 2.62984 0.262984
ppm_omp 100 4096 3200 0.1 10 16 2.63748 0.263748
ppm_omp 100 4096 6400 0.1 10 16 2.62206 0.262206
ppm_omp 100 4096 12800 0.1 10 16 2.65069 0.265069
ppm_omp 100 4096 800 0.1 10 20 2.59853 0.259853
ppm_omp 100 4096 1600 0.1 10 20 2.59109 0.259109
ppm_omp 100 4096 3200 0.1 10 20 2.89337 0.289337
ppm_omp 100 4096 6400 0.1 10 20 2.63114 0.263114
ppm_omp 100 4096 12800 0.1 10 20 2.69964 0.269964
ppm_omp 100 4096 800 0.1 10 24 2.80094 0.280094
ppm_omp 100 4096 1600 0.1 10 24 2.66089 0.266089
ppm_omp 100 4096 3200 0.1 10 24 2.84463 0.284463
ppm_omp 100 4096 6400 0.1 10 24 2.6293 0.26293
ppm_omp 100 4096 12800 0.1 10 24 2.60439 0.260439
ppm_omp_full 100 128 800 0.1 10 1 0.00465703 0.000465703
ppm_omp_full 100 128 1600 0.1 10 1 0.00472498 0.000472498
ppm_omp_full 100 128 3200 0.1 10 1 0.00533795 0.000533795
ppm_omp_full 100 128 6400 0.1 10 1 0.0068481 0.00068481
ppm_omp_full 100 128 12800 0.1 10 1 0.00967312 0.000967312
ppm_omp_full 100 128 800 0.1 10 2 0.00357318 0.000357318
ppm_omp_full 100 128 1600 0.1 10 2 0.00473499 0.000473499
ppm_omp_full 100 128 3200 0.1 10 2 0.00742006 0.000742006
ppm_omp_full 100 128 6400 0.1 10 2 0.0126591 0.00126591
ppm_omp_full 100 128 12800 0.1 10 2 0.0242062 0.00242062
ppm_omp_full 100 128 800 0.1 10 3 0.00486708 0.000486708
ppm_omp_full 100 128 1600 0.1 10 3 0.00792289 0.000792289
ppm_omp_full 100 128 3200 0.1 10 3 0.0134702 0.00134702
ppm_omp_full 100 128 6400 0.1 10 3 0.0247889 0.00247889
ppm_omp_full 100 128 12800 0.1 10 3 0.0475819 0.00475819
ppm_omp_full 100 128 800 0.1 10 4 0.00498486 0.000498486
ppm_omp_full 100 128 1600 0.1 10 4 0.00762296 0.000762296
ppm_omp_full 100 128 3200 0.1 10 4 0.012984 0.0012984
ppm_omp_full 100 128 6400 0.1 10 4 0.0236461 0.00236461
ppm_omp_full 100 128 12800 0.1 10 4 0.0444 0.00444
ppm_omp_full 100 128 800 0.1 10 5 0.00500798 0.000500798
ppm_omp_full 100 128 1600 0.1 10 5 0.00710702 0.000710702
ppm_omp_full 100 128 3200 0.1 10 5 0.012115 0.0012115
ppm_omp_full 100 128 6400 0.1 10 5 0.0217252 0.00217252
ppm_omp_full 100 128 12800 0.1 10 5 0.0415349 0.00415349
ppm_omp_full 100 128 800 0.1 10 6 0.00472999 0.000472999
ppm_omp_full 100 128 1600 0.1 10 6 0.00724816 0.000724816
ppm_omp_full 100 128 3200 0.1 10 6 0.0126801 0.00126801
ppm_omp_full 100 128 6400 0.1 10 6 0.0210559 0.00210559
ppm_omp_full 100 128 12800 0.1 10 6 0.0429621 0.00429621
ppm_omp_full 100 128 800 0.1 10 7 0.00466299 0.000466299
ppm_omp_full 100 128 1600 0.1 10 7 0.00686407 0.000686407
ppm_omp_full 100 128 3200 0.1 10 7 0.0114698 0.00114698
ppm_omp_full 100 128 6400 0.1 10 7 0.0212629 0.00212629
ppm_omp_full 100 128 12800 0.1 10 7 0.0394499 0.00394499
ppm_omp_full 100 128 800 0.1 10 8 0.00480509 0.000480509
ppm_omp_full 100 128 1600 0.1 10 8 0.00708508 0.000708508
ppm_omp_full 100 128 3200 0.1 10 8 0.0125599 0.00125599
ppm_omp_full 100 128 6400 0.1 10 8 0.021558 0.0021558
ppm_omp_full 100 128 12800 0.1 10 8 0.039408 0.0039408
ppm_omp_full 100 128 800 0.1 10 12 0.00539994 0.000539994
ppm_omp_full 100 128 1600 0.1 10 12 0.00767303 0.000767303
ppm_omp_full 100 128 3200 0.1 10 12 0.011904 0.0011904
ppm_omp_full 100 128 6400 0.1 10 12 0.021446 0.0021446
ppm_omp_full 100 128 12800 0.1 10 12 0.19211 0.019211
ppm_omp_full 100 128 800 0.1 10 16 0.00535393 0.000535393
ppm_omp_full 100 128 1600 0.1 10 16 0.00725293 0.000725293
ppm_omp_full 100 128 3200 0.1 10 16 0.012835 0.0012835
ppm_omp_full 100 128 6400 0.1 10 16 0.0214031 0.00214031
ppm_omp_full 100 128 12800 0.1 10 16 0.0395939 0.00395939
ppm_omp_full 100 128 800 0.1 10 20 0.0108271 0.00108271
ppm_omp_full 100 128 1600 0.1 10 20 0.00809598 0.000809598
